,"ECE services in Christchurch City, Selwyn District and Waimakariri Districts 4/3/2011",,,,,,,,
,,,,,,,,,
"Institution Number","Name","Institution Type","Street","Suburb","City","TLA","_XCoords","_YCoords","Ward"
70351,"Donald Duck Preschool","Education & Care Service","29 MACAULEY STREET","Addington","Christchurch","Christchurch",2478933.88,5740056.21,"Spreydon-Heathcote Ward"
45546,"Dudley Creek Preschool Ltd","Education & Care Service","357 Hills Road","Mairehau","Christchurch","Christchurch",2481605.34,5745617.54,"Shirley-Papanui Ward"
70308,"E Tipu e Rea Early Learning Centre","Education & Care Service","Aranui High School, . Breezes Road","Aranui","Christchurch","Christchurch",2485520.71,5743594.87,"Burwood-Pegasus Ward"
70491,"Early Childhood Learning Centre","Education & Care Service","116 Ilam Road","Ilam","Christchurch","Christchurch",2476041.85,5742824.34,"Riccarton-Wigram Ward"
70353,"Educational Child Care Centre","Education & Care Service","96 Gayhurst Road","Dallington","Christchurch","Christchurch",2483714.09,5743427.57,"Burwood-Pegasus Ward"
45133,"Edukids Delamain Nursery & Toddlers","Education & Care Service","5 Jarnac Boulevard","Addington","Christchurch","Christchurch",2471095.64,5742269.2,"Riccarton-Wigram Ward"
45051,"Edukids Halswell Nursery","Education & Care Service","296 Halswell Road","Halswell","Christchurch","Christchurch",2475161.95,5736808.83,"Riccarton-Wigram Ward"
45050,"Edukids Halswell Preschool","Education & Care Service","296 Halswell Road","Halswell","Christchurch","Christchurch",2475160.73,5736803.92,"Riccarton-Wigram Ward"
70172,"Edukids Kilmarnock Foundation School Education & Care Centre","Education & Care Service","27 Kilmarnock Street","Riccarton","Christchurch","Christchurch",2478312.61,5742185,"Riccarton-Wigram Ward"
70171,"Edukids Kilmarnock Nursery Education & Care Centre","Education & Care Service","27 Kilmarnock Street","Riccarton","Christchurch","Christchurch",2478312.23,5742179.2,"Riccarton-Wigram Ward"
45135,"Edukids Redwood Nursery","Education & Care Service","302 - 304 Main North Road","Redwood","Christchurch","Christchurch",2479059.04,5747806.48,"Shirley-Papanui Ward"
45134,"Edukids Redwood Preschool","Education & Care Service","302 - 304 Main North Road","Redwood","Christchurch","Christchurch",2479058.78,5747802.49,"Shirley-Papanui Ward"
70552,"Edukids Shirley Road","Education & Care Service","44 Shirley Road","Shirley","Christchurch","Christchurch",2482476.05,5744303.85,"Shirley-Papanui Ward"
70127,"Edukids Styxmill Foundation School","Education & Care Service","109 Northwood Boulevard","Northwood","Christchurch","Christchurch",2478505.64,5750401.92,"Shirley-Papanui Ward"
45477,"Edukids Wainoni Nursery & Toddlers","Education & Care Service","260 Wainoni Road","Wainoni","Christchurch","Christchurch",2485705.82,5744314.36,"Burwood-Pegasus Ward"
70091,"Edukids Wairakei - Nursery","Education & Care Service","431 Wairakei Road","Papanui","Christchurch","Christchurch",2475468.69,5746060.7,"Fendalton-Waimairi Ward"
70093,"Edukids Wairakei - Preschool","Education & Care Service","431 Wairakei Road","Papanui","Christchurch","Christchurch",2475469,5746055.92,"Fendalton-Waimairi Ward"
65164,"Elim Early Learning Centre","Education & Care Service","285 Cashel Street","Christchurch Central","Christchurch","Christchurch",2481477.81,5741549.06,"Hagley-Ferrymead Ward"
45564,"Elim Wonder Babies","Education & Care Service","285 Cashel Street","Christchurch Central","Christchurch","Christchurch",2481477.89,5741550.08,"Hagley-Ferrymead Ward"
70356,"Elmwood Preschool Ltd","Education & Care Service","10 Wairakei Road","Bryndwr","Christchurch","Christchurch",2478072.14,5744142.12,"Fendalton-Waimairi Ward"
70582,"Estuary Road Preschool Limited","Education & Care Service","148 Estuary Road","South New Brighton","Christchurch","Christchurch",2488457.51,5742322.76,"Burwood-Pegasus Ward"
70357,"Fairleigh Kindergarten","Education & Care Service","27 a Garden Rd","Fendalton","Christchurch","Christchurch",2478580.74,5743117.48,"Fendalton-Waimairi Ward"
70052,"Fendalton Playcentre","Playcentre","170 a Clyde Road","Fendalton","Christchurch","Christchurch",2476944.13,5743449.22,"Fendalton-Waimairi Ward"
45055,"Fingerprints Christian Preschool","Education & Care Service","130 Wilsons Road","St Martins","Christchurch","Christchurch",2482005.3,5738911.28,"Spreydon-Heathcote Ward"
65137,"Footsteps Christian Community Preschool","Education & Care Service","5 Grants Road","Papanui","Christchurch","Christchurch",2478531.28,5745269.44,"Shirley-Papanui Ward"
70361,"Forfar Nursery And Preschool","Education & Care Service","82 Forfar Street","St Albans","Christchurch","Christchurch",2480973.78,5744469.9,"Shirley-Papanui Ward"
70416,"FUNdamentals 1","Education & Care Service","875 Ferry Road","Ferrymead","Christchurch","Christchurch",2485236.18,5739169.57,"Hagley-Ferrymead Ward"
70075,"FUNdamentals 2-Vicarage@Riverside","Education & Care Service","307 New Brighton Road","Burwood","Christchurch","Christchurch",2484709.51,5745235.32,"Burwood-Pegasus Ward"
70358,"Gabriel House Kindergarten","Education & Care Service","129 Pages Road","Aranui","Christchurch","Christchurch",2485171.42,5742804.21,"Burwood-Pegasus Ward"
45566,"Global Kids Early Learning Centre","Education & Care Service","70 Hume Street","Sydenham","Christchurch","Christchurch",2481532.9,5739271.65,"Spreydon-Heathcote Ward"
65038,"Gumdrops Early Learning Centre","Education & Care Service","477 Greers Road","Bishopdale","Christchurch","Christchurch",2477429.03,5746723.25,"Fendalton-Waimairi Ward"
70363,"Hagley Community College Pre School","Education & Care Service","510 Hagley Avenue","Christchurch Central","Christchurch","Christchurch",2479518.89,5741068.54,"Hagley-Ferrymead Ward"
70060,"Halswell Playcentre","Playcentre","438 Halswell Road","Halswell","Christchurch","Christchurch",2475278.83,5735823.33,"Riccarton-Wigram Ward"
65082,"Halswell Preschool","Education & Care Service","31 Halswell Junction Road","Halswell","Christchurch","Christchurch",2475142.76,5735775.79,"Riccarton-Wigram Ward"
70064,"Harewood Playcentre","Playcentre","719 Harewood Road","Harewood","Christchurch","Christchurch",2474373.48,5747461.65,"Fendalton-Waimairi Ward"
70139,"Hazeldean Early Learning Centre 1","Education & Care Service","55 Grove Road","Addington","Christchurch","Christchurch",2479112.15,5740621.17,"Spreydon-Heathcote Ward"
70141,"Hazeldean Early Learning Centre 2","Education & Care Service","55 Grove Road","Addington","Christchurch","Christchurch",2479112.45,5740615.19,"Spreydon-Heathcote Ward"
70068,"Heathcote Valley Playcentre","Playcentre","Bridle Path Rd,","Heathcote Valley","Christchurch","Christchurch",2486544.34,5736374.66,"Hagley-Ferrymead Ward"
45402,"Heathcote Valley Preschool 0-3","Education & Care Service","108 Port Hills Road","Heathcote Valley","Christchurch","Christchurch",2485978.83,5736912.82,"Hagley-Ferrymead Ward"
45403,"Heathcote Valley Preschool 3-5","Education & Care Service","108 Port Hills Road","Heathcote Valley","Christchurch","Christchurch",2485983.45,5736919.5,"Hagley-Ferrymead Ward"
70367,"Hoon Hay Community Pre-School","Education & Care Service","113 Mathers Road","Hoon Hay","Christchurch","Christchurch",2476918.31,5738110.56,"Spreydon-Heathcote Ward"
70002,"Hornby Childcare and Education Centre","Education & Care Service","52 Shands Road","Hornby","Christchurch","Christchurch",2471335.86,5739929.41,"Riccarton-Wigram Ward"
70373,"Huntsbury Preschool Inc","Education & Care Service","Huntsbury Avenue","Beckenham","Christchurch","Christchurch",2481899.83,5737833.67,"Spreydon-Heathcote Ward"
45116,"I Kids Moorhouse Avenue","Education & Care Service","210 Moorhouse Avenue","Christchurch CBD","Christchurch","Christchurch",2480181.94,5740736.94,"Hagley-Ferrymead Ward"
45247,"I Kids Moorhouse Avenue - Juniors","Education & Care Service","Level 1, 210 Moorhouse Avenue","Christchurch CBD","Christchurch","Christchurch",2480181.97,5740732.37,"Hagley-Ferrymead Ward"
70493,"Ilam Early Learning Centre","Education & Care Service","90 Ilam Road","Ilam","Christchurch","Christchurch",2476007.38,5742539.25,"Riccarton-Wigram Ward"
70378,"Independent Fisheries Ltd","Education & Care Service","Jubilee Street","Woolston","Christchurch","Christchurch",2484700.09,5738692.17,"Hagley-Ferrymead Ward"
